#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
68.0,5,10.939286
59.0,3,10.943762
90.0,10,10.952882
57.0,11,10.963163
-30.0,30,10.987715
66.0,4,10.991033
56.0,6,10.99441
52.0,10,11.008379
61.0,4,11.011848
47.0,15,11.02494
53.0,12,11.035657
75.0,20,11.056254
56.0,9,11.0637
50.0,1,11.063893
48.0,14,11.076616
56.0,17,11.092465
69.0,22,11.110385
58.0,4,11.113977
46.0,16,11.125574
50.0,1,11.132086
56.0,9,11.139746
50.0,12,11.149812
82.0,10,11.157065
80.0,23,11.183198
-42.0,30,11.208895
73.0,5,11.212711
47.0,15,11.2266
49.0,13,11.247391
66.0,7,11.253406
54.0,11,11.259864
53.0,23,11.278157
60.0,5,11.28603
66.0,20,11.303976
65.0,5,11.310103
62.0,22,11.327614
51.0,22,11.351275
74.0,16,11.365244
57.0,11,11.372755
64.0,6,11.379279
70.0,18,11.394942
62.0,17,11.41614
59.0,3,11.417684
64.0,3,11.421644
65.0,22,11.449667
47.0,15,11.46275
69.0,15,11.474165
72.0,12,11.484379
57.0,2,11.491454
60.0,10,11.500102
50.0,1,11.500675
55.0,7,11.507291
55.0,13,11.52237
55.0,10,11.533555
59.0,3,11.536747
69.0,7,11.540906
64.0,9,11.557696
58.0,4,11.562646
44.0,18,11.58216
49.0,13,11.594438
58.0,4,11.603401
48.0,14,11.620694
75.0,26,11.640365
58.0,4,11.643384
55.0,7,11.652776
57.0,2,11.656463
56.0,9,11.662739
60.0,11,11.673523
52.0,10,11.683431
-11.0,30,11.708954
57.0,16,11.71986
58.0,13,11.730154
52.0,10,11.742643
64.0,6,11.7496
43.0,27,11.768924
62.0,11,11.776383
77.0,9,11.788635
56.0,6,11.791923
38.0,24,11.811397
54.0,8,11.818615
80.0,9,11.829041
56.0,17,11.842806
58.0,4,11.846705
50.0,1,11.847373
54.0,11,11.860691
53.0,9,11.867684
72.0,20,11.884548
73.0,16,11.899036
46.0,19,11.917245
51.0,14,11.929237
59.0,11,11.94235
57.0,2,11.943645
50.0,1,11.950635
46.0,16,11.961735
57.0,5,11.96576
54.0,14,11.976636
64.0,15,11.993217
59.0,9,11.999286
56.0,6,12.006407
56.0,6,12.010559
57.0,2,12.017148
49.0,13,12.0284
75.0,9,12.034499
57.0,2,12.037685
58.0,13,12.051114
63.0,16,12.06561
59.0,6,12.072561
47.0,15,12.083265
65.0,16,12.101855
51.0,11,12.112064
59.0,3,12.115506
63.0,14,12.126026
65.0,5,12.13589
56.0,6,12.14164
57.0,2,12.144811
63.0,13,12.15467
64.0,3,12.163524
53.0,12,12.173479
66.0,16,12.185907
57.0,2,12.186606
73.0,8,12.197734
62.0,23,12.218815
58.0,4,12.223061
57.0,2,12.223945
81.0,8,12.235579
58.0,4,12.240363
41.0,29,12.261757
58.0,7,12.266366
55.0,10,12.278097
53.0,9,12.285658
60.0,5,12.290182
56.0,9,12.299718
-45.0,30,12.327967
67.0,12,12.337014
83.0,9,12.343079
56.0,6,12.348986
68.0,5,12.356239
53.0,9,12.363236
57.0,2,12.366963
59.0,9,12.375207
90.0,13,12.39123
48.0,17,12.409841
53.0,12,12.423225
54.0,8,12.430779
60.0,8,12.442303
53.0,12,12.453841
50.0,1,12.454126
52.0,16,12.469842
56.0,17,12.487907
62.0,6,12.494796
59.0,3,12.495619
57.0,11,12.506009
50.0,1,12.510629
51.0,14,12.523792
57.0,2,12.524395
84.0,8,12.530663
57.0,5,12.540413
46.0,24,12.560456
37.0,25,12.580563
64.0,3,12.591641
59.0,3,12.596478
55.0,10,12.605389
71.0,10,12.612395
57.0,13,12.623194
73.0,5,12.632947
50.0,15,12.646636
71.0,13,12.657403
66.0,16,12.671273
58.0,4,12.679739
64.0,3,12.682495
47.0,15,12.693743
50.0,1,12.697724
58.0,10,12.709162
58.0,10,12.720842
78.0,14,12.732231
57.0,13,12.742572
58.0,4,12.750788
50.0,1,12.753999
57.0,20,12.770454
56.0,6,12.775734
81.0,8,12.786626
51.0,17,12.800285
57.0,2,12.803447
52.0,10,12.810745
77.0,15,12.825491
47.0,18,12.840652
64.0,6,12.844135
79.0,13,12.85474
79.0,19,12.875434
65.0,5,12.878874
55.0,7,12.886341
60.0,11,12.896121
68.0,19,12.914822
66.0,30,12.93584
61.0,4,12.938829
69.0,26,12.961393
75.0,20,12.983486
63.0,10,12.99213
54.0,11,13.00227
59.0,3,13.005807
68.0,11,13.016275
44.0,26,13.03991
43.0,19,13.057386
56.0,14,13.070652
